episode,steps,reward,loss,epsilon,outcome,win_rate_50
365,400,2.391,0.06337,0.505,timeout,0.04
366,400,4.931,0.07998,0.503,timeout,0.04
367,400,3.093,0.07111,0.502,timeout,0.04
368,400,2.912,0.08886,0.501,timeout,0.04
369,400,2.495,0.05021,0.499,timeout,0.04
370,400,0.479,0.07472,0.498,timeout,0.04
371,400,0.972,0.07237,0.497,timeout,0.04
372,400,3.284,0.07732,0.495,timeout,0.04
373,400,1.025,0.04938,0.494,timeout,0.04
374,372,3.834,0.06826,0.492,out_of_bounds,0.02
375,400,3.357,0.08518,0.491,timeout,0.02
376,400,3.03,0.08006,0.49,timeout,0.02
377,400,2.058,0.08402,0.488,timeout,0.02
378,400,1.8,0.07198,0.487,timeout,0.02
379,209,-3.03,0.08213,0.486,out_of_bounds,0.02
380,400,0.907,0.0718,0.484,timeout,0.02
381,400,1.653,0.09331,0.483,timeout,0.02
382,400,4.763,0.08287,0.482,timeout,0.02
383,400,4.432,0.07786,0.48,timeout,0.02
384,400,1.171,0.0728,0.479,timeout,0.02
385,400,4.16,0.07335,0.478,timeout,0.02
386,400,2.055,0.0824,0.476,timeout,0.02
387,400,3.172,0.09008,0.475,timeout,0.02
388,117,-3.223,0.05315,0.473,out_of_bounds,0.02
389,161,-3.665,0.07095,0.472,out_of_bounds,0.02
390,400,1.566,0.07011,0.471,timeout,0.02
391,302,-1.109,0.07911,0.469,out_of_bounds,0.02
392,400,1.093,0.05254,0.468,timeout,0.02
393,366,-1.288,0.05737,0.467,out_of_bounds,0.02
394,400,1.283,0.06986,0.465,timeout,0.02
395,400,0.641,0.06304,0.464,timeout,0.02
396,119,-4.399,0.04768,0.463,out_of_bounds,0.02
397,400,0.17,0.05473,0.461,timeout,0.02
398,399,2.356,0.06651,0.46,out_of_bounds,0.02
399,400,2.641,0.06402,0.459,timeout,0.02
400,400,4.517,0.06278,0.457,timeout,0.02
401,400,5.608,0.05108,0.456,timeout,0.02
402,21,10.131,0.05257,0.454,win,0.04
403,400,-0.007,0.07002,0.453,timeout,0.04
404,400,0.375,0.07668,0.452,timeout,0.04
405,400,1.193,0.07995,0.45,timeout,0.02
406,23,-9.953,0.11563,0.449,loss,0.02
407,400,-1.327,0.07212,0.448,timeout,0.02
408,400,4.396,0.06154,0.446,timeout,0.02
409,400,2.625,0.07461,0.445,timeout,0.02
410,400,3.379,0.07772,0.444,timeout,0.02
411,400,0.945,0.08541,0.442,timeout,0.02
412,400,3.614,0.06731,0.441,timeout,0.02
413,161,-2.894,0.07636,0.44,out_of_bounds,0.02
414,400,-0.387,0.07018,0.438,timeout,0.02
415,400,1.861,0.08369,0.437,timeout,0.02
416,400,0.513,0.07937,0.435,timeout,0.02
417,337,0.215,0.06926,0.434,out_of_bounds,0.02
418,400,0.846,0.07441,0.433,timeout,0.02
419,400,1.564,0.08006,0.431,timeout,0.02
420,400,-0.672,0.07257,0.43,timeout,0.02
421,400,4.101,0.07954,0.429,timeout,0.02
422,400,-1.689,0.06422,0.427,timeout,0.02
423,400,0.387,0.06665,0.426,timeout,0.02
424,400,1.322,0.07736,0.425,timeout,0.02
425,27,-9.924,0.12145,0.423,loss,0.02
426,400,4.791,0.07007,0.422,timeout,0.02
427,400,-0.286,0.08348,0.42,timeout,0.02
428,400,-0.209,0.07366,0.419,timeout,0.02
429,400,1.064,0.07313,0.418,timeout,0.02
430,400,-1.644,0.06628,0.416,timeout,0.02
431,400,-2.06,0.06923,0.415,timeout,0.02
432,400,0.294,0.07148,0.414,timeout,0.02
433,400,-0.782,0.06643,0.412,timeout,0.02
434,400,2.949,0.06696,0.411,timeout,0.02
435,400,0.229,0.05562,0.41,timeout,0.02
436,400,2.125,0.07339,0.408,timeout,0.02
437,400,0.276,0.07931,0.407,timeout,0.02
438,400,3.452,0.05966,0.406,timeout,0.02
439,400,1.097,0.07954,0.404,timeout,0.02
440,400,5.785,0.06453,0.403,timeout,0.02
441,400,3.128,0.08357,0.402,timeout,0.02
442,400,0.215,0.06892,0.4,timeout,0.02
443,400,-0.128,0.07789,0.399,timeout,0.02
444,400,1.321,0.06607,0.397,timeout,0.02
445,18,10.275,0.13281,0.396,win,0.04
446,400,0.53,0.07938,0.395,timeout,0.04
447,340,-0.187,0.06511,0.393,out_of_bounds,0.04
448,400,3.134,0.09244,0.392,timeout,0.04
449,400,5.123,0.07439,0.391,timeout,0.04
450,400,-0.321,0.07721,0.389,timeout,0.04
451,400,3.81,0.06702,0.388,timeout,0.04
452,400,3.728,0.06833,0.387,timeout,0.02
453,400,2.548,0.06732,0.385,timeout,0.02
454,400,3.644,0.06422,0.384,timeout,0.02
455,400,0.267,0.09846,0.383,timeout,0.02
456,400,0.299,0.06838,0.381,timeout,0.02
457,134,-11.664,0.09931,0.38,loss,0.02
458,400,0.598,0.06958,0.378,timeout,0.02
459,400,5.78,0.06534,0.377,timeout,0.02
460,400,3.474,0.07544,0.376,timeout,0.02
461,19,10.154,0.08968,0.374,win,0.04
462,400,3.826,0.10003,0.373,timeout,0.04
463,400,3.08,0.08065,0.372,timeout,0.04
464,400,1.402,0.06801,0.37,timeout,0.04
465,400,2.751,0.0796,0.369,timeout,0.04
466,400,4.493,0.08766,0.368,timeout,0.04
467,400,0.803,0.07268,0.366,timeout,0.04
468,400,5.059,0.06825,0.365,timeout,0.04
469,400,3.353,0.0742,0.364,timeout,0.04
470,22,-9.898,0.03655,0.362,loss,0.04
471,400,4.036,0.07943,0.361,timeout,0.04
472,400,2.863,0.08035,0.359,timeout,0.04
473,400,-0.518,0.06602,0.358,timeout,0.04
474,400,5.527,0.08434,0.357,timeout,0.04
475,400,1.567,0.08755,0.355,timeout,0.04
476,400,2.95,0.07171,0.354,timeout,0.04
477,400,1.766,0.09559,0.353,timeout,0.04
478,400,2.619,0.07222,0.351,timeout,0.04
479,400,3.697,0.09621,0.35,timeout,0.04
480,400,1.988,0.08999,0.349,timeout,0.04
481,400,4.831,0.06962,0.347,timeout,0.04
482,400,5.372,0.09237,0.346,timeout,0.04
483,20,-9.808,0.07427,0.345,loss,0.04
484,400,3.646,0.1026,0.343,timeout,0.04
485,400,3.917,0.0884,0.342,timeout,0.04
486,34,10.105,0.08482,0.34,win,0.06
